bookID,authorID
cea86a1615,cd79d2c721345bbb5a410b2760d093b9850b8af6ff75a5706795bb0de5d9febc
9dcc54dd1e,c8eb4bc6bde19e9f98a2d53b290ebca4e532a99fe3ccc9a1dd33a87d14b72ced
e2cbca8b21,dc7030804a8d910fe3136e593de48937b100f6c068e23b0afbdc09263a225af2
0ee42ed515,3c53ebdfbf35c3ee4928be2ad3843ea4c181951eba046d5d9b8743331dcf8168
8647578b93,58b203e5ca18dcc3b6532a5834e8ca92b3b5f5662bdd3423620cd70892323808
adf565eb37,2b21381dcca164b813534618ec773e8f6f96a6e2ba1cf090b0edb6dd4a61cb2e
0614ddc2d3,73f889fa728301c9e15a89a973622cb17b4ed95adcf8db0acd9633d0ddc4de08
0b640a2963,3d458f12a8c8abf962b7da9556bd8b9b38667b234c38392c6bb64ba7ecad0f47
a5ebe2e2d2,2b21381dcca164b813534618ec773e8f6f96a6e2ba1cf090b0edb6dd4a61cb2e
5115bd6ff4,2f96fa94f100b38ebfbcfceca9f6bc795826c55c4931d25df80d44ea29e210e9
273c45e050,af56dfe862a946347f833cb444322ad15c2a0877e1c95887b31f3b771be23eea
525d06a890,827dcbb2040882aa6cf4fd3d029da8af1c751b0f1c0c501682a9eea4096bf990
7d99373cb2,af56dfe862a946347f833cb444322ad15c2a0877e1c95887b31f3b771be23eea
1901aa0b45,1713b67081164bc48f6198fc2220d794f4ffbf0124c699278380f73cd6b11693
b59310a27a,2140a4752a6d324da565149001db45584c471956b1dcac21af354ea6100ad46c
47d126f5aa,827dcbb2040882aa6cf4fd3d029da8af1c751b0f1c0c501682a9eea4096bf990
3edcc009d3,453702eb1daf308abebbc1a2446658c6290557a1a20c15503ebaa18b3e217e36
7b8c9ceb46,7a09e7fbf513a3f70497b112658d99fec8d4d0a296dea9fe1206b7de0bcc5140
d7679b474c,0505406ef453e6d32eac41870e2005842a1d2038798c4f5d9c2475bb1911d144
12e26749f7,dc7030804a8d910fe3136e593de48937b100f6c068e23b0afbdc09263a225af2
2e3608d915,e93039e29a3572880d66199c7e6a283f7129dfe0bd7a3c2110356115a2ee476c
5d61e92b07,3d458f12a8c8abf962b7da9556bd8b9b38667b234c38392c6bb64ba7ecad0f47
11d0f40211,3af27178ec206979a3f332c79698675a939a7a96348e6cd5971144cc3b8d7454
46a129cd9d,e93039e29a3572880d66199c7e6a283f7129dfe0bd7a3c2110356115a2ee476c
ce47207e88,a64a4895982f3ab42f0466a6a541c1f00b72e3c2525aa5c8d9fbf8db3a9a6fd3
edba95628c,d14ab73f2e6af6ec370c7486f279537e0985b1f47944afcda01b5207674992b0
821a1ba0fb,3d458f12a8c8abf962b7da9556bd8b9b38667b234c38392c6bb64ba7ecad0f47
2a660130ab,3ea7b3bcb4d79f743ae2c38ca583daecb33e551e86886d3571400dec0f32253a
116746ac86,792383cd1df9d1326d8ac1ce05859b08d7211e9438e28cb472e7a24bba6626a4
5b8593c296,2b21381dcca164b813534618ec773e8f6f96a6e2ba1cf090b0edb6dd4a61cb2e
53128aaaaa,e143719d0b75379c77c75ec6cb49e9287621d495925b03b652ba7fd1fcccf75d
7e312a8ade,df78095cfd0dc4483adcdc2abd93ced5034b064cb7524526deac0a7af3ee620e
3d781233f9,f6b6f43ec80e42390686028cbac7098826ad12296b349b527fd11cd40d375e05
ed135ef5ad,e822895a5f352e7d7367f78405d2bd9b50fd5d5738e9a90d784d4d2c5af9730c
f2499f229b,fe85da3620f1a94267082528ac25bc3f2f37627f296e56b69da63c11ba262d9d
f7a084914e,792383cd1df9d1326d8ac1ce05859b08d7211e9438e28cb472e7a24bba6626a4
603047eca7,2140a4752a6d324da565149001db45584c471956b1dcac21af354ea6100ad46c
551e33ba8c,7f96e3e3ca0c4d56954f2f674f49b6c01f9db4b8e8bcc8fec7cee5f781d83aab
3020dcb9ca,efa7d7d1069c6de99f06bf49f968fc83a12a88beae55113d3c34b1009bb936a9
0eb691002f,3d458f12a8c8abf962b7da9556bd8b9b38667b234c38392c6bb64ba7ecad0f47
e51b58ddc2,2d7cf40781e40f11807ce9fc69a89974700a75220262ed25be48601ca1b9e1b6
81d382c127,a6a0758cda2fb1585f524a893413f0e7edd52828b741a40f81f0f3d2d7c7e9fe
d581328170,5c15850edf095f6e863e92992a322bb48714505a44c7559d6bc9c899d92fd1b2
e4506cf2ed,3d458f12a8c8abf962b7da9556bd8b9b38667b234c38392c6bb64ba7ecad0f47
241c0609f6,66199f8dae8d0f016304c3e04e0eb55498d8cd15d5499406959017bcf64eecda
6af3583297,b80bd450e9800c2c4e72b32e37049ef6491106ef782b1362105578ea0e8100f2
411c38ee70,b80bd450e9800c2c4e72b32e37049ef6491106ef782b1362105578ea0e8100f2
d9afac49f7,f1bca420e6b950fec85bc603861685f44f376906d526e9946910bb5275c3d467
5de61602a2,036a3168be58384f201d2ae8afdb4348cd7986f3fa3bc7cee3dab796b9f5c942
229767dfc1,35ac6f84d59c0a231f1e319ecef1b3f7048cdbcc83a0a371a4374645f7cca77b
f128a05d86,179f57bc275c4507131605e5009bd2f5783dde36fa7ced5a501c58b4532bf83d
aa4e9e7989,7f96e3e3ca0c4d56954f2f674f49b6c01f9db4b8e8bcc8fec7cee5f781d83aab
8e78288c4b,b80bd450e9800c2c4e72b32e37049ef6491106ef782b1362105578ea0e8100f2
0385874e13,686159d24c69e045635d3096af17b4a6905474a4653896c090839c718cf121b2
a6f4dc40d4,a14f5a7a2b07a3e8c2199e76a9cecedf4ce786fcd3bfd4e856caf263619d0698
aa9480afee,dc7030804a8d910fe3136e593de48937b100f6c068e23b0afbdc09263a225af2
ccbb050f18,0505406ef453e6d32eac41870e2005842a1d2038798c4f5d9c2475bb1911d144
f95f0c025e,e7ab5d5225a41fef07189f99b77f735b198c868c48615b2e24956b18392b8bda
cede3fa517,35e82eff55cb395adca53d80c51cd1f7d23eee97c7d8bf7e891b336e3b331956
59cdd3bb45,94bb6a860b65d7ca13f90873013b051921e63a254c347214adcc1ef17f75462a
